154;CENTRO AUTOMOTRIZ DE LA CALERA;CONCESIONARIO;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CALLE 7 No.1-37;3125843280
155;CENTRO AUTOMOTRIZ ORJUELA;CONCESIONARIO;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CALLE 8 No. 2 B - -05;3134032836
156;CENTRO EDUCATIVO CANTURRIANDO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;SECTOR LA PORTADA LOTE EL EDEN;3115375435
157;"CENTRO NACIONAL DE ANALISIS A CONDUCTORES ""CENAC"" IPS LTDA";OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 2 No. 9-29;3103306966
158;CERAMICAS  SAN DIEGO;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;KM 8.5 RIO GRANDE ;6409472
159;CERVECERIA LA CALERUNA SAS;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 10A No. 2B-31;8602316
160;CHIMENEA BAR SIGLO XXI;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CARRERA 3 No. 1 -87;8037580
161;CHUCULA CALERUNA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 2 No.  8 - 28;3103163110
162;"CIGARRERIA "" A QUI  ESTOY Y AQUÍ ME QUEDO""";CIGARRERÍA;47;COMERCIO AL POR MENOR;C 3 No 7-70;8601629
163;CIGARRERIA CRISTAL;CIGARRERÍA;47;COMERCIO AL POR MENOR;AVENIDA 2 No. 6 - 40;3144823604
164;CIGARRERIA LA CABAÑA;CIGARRERÍA;47;COMERCIO AL POR MENOR;AV 2 No. 6-60;8600509/3124720247
165;CIGARRERIA LEIDY`S;CIGARRERÍA;47;COMERCIO AL POR MENOR;C 4 No 3-05;8757016
166;CIGARRERIA Y CAFETERIA JIMMY ;CIGARRERÍA;47;COMERCIO AL POR MENOR;EL SALITRE SECTOR EL CHOCOLATERO;8609421
167;CIGARRRERIA Y PIQUETEADERO LA PORTADA;CIGARRERÍA;47;COMERCIO AL POR MENOR;AV 2A No 8-28;8602815
168;CITY LINE COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2 No. 2-92;8603198
169;CLASIFICADOS LA CALERA;TELECOMUNICACIONES;61;TELECOMUNICACIONES;C 9 No 2-23;8601628
